"","X","workerid","rt","subjectGender","speakerGender","content","verb","contentNr","trigger_class","response","slide_number_in_experiment","age","language","asses","american","gender","comments","Answer.time_in_minutes","predicateClause"
"1358",1526,54,3917,"F","M","Tony had a drink last night","acknowledge","15","C",0.99,18,24,"english","Yes",0,"Female","",5.50718333333333,"acknowledge.Tony had a drink last night"
"1360",1528,54,23452,"F","F","Julian dances salsa","say","18","C",0.99,20,24,"english","Yes",0,"Female","",5.50718333333333,"say.Julian dances salsa"
"1362",1530,54,4164,"M","M","Emma studied on Saturday morning","know","3","NonProj",1,22,24,"english","Yes",0,"Female","",5.50718333333333,"know.Emma studied on Saturday morning"
"1363",1531,54,3734,"F","M","Jayden rented a car","suggest","14","C",0.27,23,24,"english","Yes",0,"Female","",5.50718333333333,"suggest.Jayden rented a car"
"1365",1533,54,13213,"F","F","Danny ate the last cupcake","establish","11","NonProj",0.99,25,24,"english","Yes",0,"Female","",5.50718333333333,"establish.Danny ate the last cupcake"
"1366",1534,54,4183,"F","F","Frank got a cat","be_right","12","C",0.96,26,24,"english","Yes",0,"Female","",5.50718333333333,"be_right_that.Frank got a cat"
"1367",1535,54,4137,"M","F","Isabella ate a steak on Sunday","be_annoyed","7","NonProj",0.97,27,24,"english","Yes",0,"Female","",5.50718333333333,"annoyed.Isabella ate a steak on Sunday"
"1368",1536,54,4493,"M","M","Josie went on vacation to France","admit","2","C",0.97,28,24,"english","Yes",0,"Female","",5.50718333333333,"admit.Josie went on vacation to France"
"1369",1537,54,4500,"F","F","Jon walks to work","demonstrate","19","C",0.97,29,24,"english","Yes",0,"Female","",5.50718333333333,"demonstrate.Jon walks to work"
"1370",1538,54,3403,"M","F","Mary is pregnant","confirm","1","C",0.96,30,24,"english","Yes",0,"Female","",5.50718333333333,"confirm.Mary is pregnant"
"1372",1540,54,6457,"M","F","Mia drank 2 cocktails last night","think","6","NonProj",0.14,32,24,"english","Yes",0,"Female","",5.50718333333333,"think.Mia drank 2 cocktails last night"
"1373",1541,55,7202,"F","F","Julian dances salsa","say","18","C",0.38,5,65,"English","Yes",0,"Female","Price you are paying is fair. Thank you.",3.73776666666667,"say.Julian dances salsa"
"1375",1543,55,6783,"F","M","Owen shoveled snow last winter","admit","17","C",0.65,7,65,"English","Yes",0,"Female","Price you are paying is fair. Thank you.",3.73776666666667,"admit.Owen shoveled snow last winter"
"1376",1544,55,4583,"F","M","Tony had a drink last night","pretend","15","NonProj",0.01,8,65,"English","Yes",0,"Female","Price you are paying is fair. Thank you.",3.73776666666667,"pretend.Tony had a drink last night"
"1378",1546,55,6551,"F","M","Frank got a cat","hear","12","C",0.3,10,65,"English","Yes",0,"Female","Price you are paying is fair. Thank you.",3.73776666666667,"hear.Frank got a cat"
"1379",1547,55,6209,"M","F","Olivia sleeps until noon","announce","4","C",0.73,11,65,"English","Yes",0,"Female","Price you are paying is fair. Thank you.",3.73776666666667,"announce.Olivia sleeps until noon"
"1381",1549,55,5790,"M","F","Sophia got a tattoo","inform","5","C",0.88,13,65,"English","Yes",0,"Female","Price you are paying is fair. Thank you.",3.73776666666667,"inform_Sam.Sophia got a tattoo"
"1383",1551,55,5775,"F","M","Danny ate the last cupcake","prove","11","C",0.92,15,65,"English","Yes",0,"Female","Price you are paying is fair. Thank you.",3.73776666666667,"prove.Danny ate the last cupcake"
"1384",1552,55,5432,"M","M","Emily bought a car yesterday","confess","8","C",0.65,16,65,"English","Yes",0,"Female","Price you are paying is fair. Thank you.",3.73776666666667,"confess.Emily bought a car yesterday"
"1385",1553,55,3935,"F","F","Jon walks to work","establish","19","NonProj",0.86,17,65,"English","Yes",0,"Female","Price you are paying is fair. Thank you.",3.73776666666667,"establish.Jon walks to work"
"1386",1554,55,5255,"M","F","Josie went on vacation to France","demonstrate","2","C",0.65,18,65,"English","Yes",0,"Female","Price you are paying is fair. Thank you.",3.73776666666667,"demonstrate.Josie went on vacation to France"
"1388",1556,55,4321,"F","F","Charley speaks Spanish","confirm","20","C",0.81,20,65,"English","Yes",0,"Female","Price you are paying is fair. Thank you.",3.73776666666667,"confirm.Charley speaks Spanish"
"1389",1557,55,3960,"M","M","Isabella ate a steak on Sunday","think","7","NonProj",0.08,21,65,"English","Yes",0,"Female","Price you are paying is fair. Thank you.",3.73776666666667,"think.Isabella ate a steak on Sunday"
"1391",1559,55,4336,"F","M","Jackson ran 10 miles","discover","13","NonProj",0.81,23,65,"English","Yes",0,"Female","Price you are paying is fair. Thank you.",3.73776666666667,"discover.Jackson ran 10 miles"
"1392",1560,55,4591,"M","F","Grace visited her sister","be_right","9","C",0.91,24,65,"English","Yes",0,"Female","Price you are paying is fair. Thank you.",3.73776666666667,"be_right_that.Grace visited her sister"
"1394",1562,55,4143,"M","F","Mia drank 2 cocktails last night","suggest","6","C",0.08,26,65,"English","Yes",0,"Female","Price you are paying is fair. Thank you.",3.73776666666667,"suggest.Mia drank 2 cocktails last night"
"1396",1564,55,6903,"F","F","Josh learned to ride a bike yesterday","see","16","NonProj",0.93,28,65,"English","Yes",0,"Female","Price you are paying is fair. Thank you.",3.73776666666667,"see.Josh learned to ride a bike yesterday"
"1397",1565,55,5864,"M","M","Emma studied on Saturday morning","be_annoyed","3","NonProj",0.72,29,65,"English","Yes",0,"Female","Price you are paying is fair. Thank you.",3.73776666666667,"annoyed.Emma studied on Saturday morning"
"1398",1566,55,5656,"M","F","Zoe calculated the tip","acknowledge","10","C",0.6,30,65,"English","Yes",0,"Female","Price you are paying is fair. Thank you.",3.73776666666667,"acknowledge.Zoe calculated the tip"
"1399",1567,55,4327,"F","M","Jayden rented a car","reveal","14","NonProj",0.75,31,65,"English","Yes",0,"Female","Price you are paying is fair. Thank you.",3.73776666666667,"reveal.Jayden rented a car"
"1400",1568,55,5406,"M","M","Mary is pregnant","know","1","NonProj",0.78,32,65,"English","Yes",0,"Female","Price you are paying is fair. Thank you.",3.73776666666667,"know.Mary is pregnant"
"1403",1571,56,11120,"M","F","Josie went on vacation to France","pretend","2","NonProj",0.03,7,50,"english","Yes",0,"Male","",5.82286666666667,"pretend.Josie went on vacation to France"
"1404",1572,56,15693,"F","F","Tony had a drink last night","know","15","NonProj",0.97,8,50,"english","Yes",0,"Male","",5.82286666666667,"know.Tony had a drink last night"
"1405",1573,56,8579,"M","F","Zoe calculated the tip","think","10","NonProj",0.22,9,50,"english","Yes",0,"Male","",5.82286666666667,"think.Zoe calculated the tip"
"1406",1574,56,17486,"F","M","Jackson ran 10 miles","reveal","13","NonProj",0.87,10,50,"english","Yes",0,"Male","",5.82286666666667,"reveal.Jackson ran 10 miles"
"1407",1575,56,10616,"F","F","Danny ate the last cupcake","confess","11","C",0.27,11,50,"english","Yes",0,"Male","",5.82286666666667,"confess.Danny ate the last cupcake"
"1408",1576,56,11658,"M","F","Emily bought a car yesterday","see","8","NonProj",0.81,12,50,"english","Yes",0,"Male","",5.82286666666667,"see.Emily bought a car yesterday"
"1410",1578,56,10110,"M","M","Sophia got a tattoo","confirm","5","C",0.83,14,50,"english","Yes",0,"Male","",5.82286666666667,"confirm.Sophia got a tattoo"
"1411",1579,56,13476,"M","M","Mary is pregnant","admit","1","C",0.62,15,50,"english","Yes",0,"Male","",5.82286666666667,"admit.Mary is pregnant"
"1412",1580,56,8162,"M","F","Grace visited her sister","establish","9","NonProj",0.71,16,50,"english","Yes",0,"Male","",5.82286666666667,"establish.Grace visited her sister"
"1413",1581,56,9849,"F","F","Owen shoveled snow last winter","discover","17","NonProj",0.88,17,50,"english","Yes",0,"Male","",5.82286666666667,"discover.Owen shoveled snow last winter"
"1414",1582,56,7697,"M","M","Mia drank 2 cocktails last night","announce","6","C",0.26,18,50,"english","Yes",0,"Male","",5.82286666666667,"announce.Mia drank 2 cocktails last night"
"1415",1583,56,8425,"F","M","Frank got a cat","say","12","C",0.54,19,50,"english","Yes",0,"Male","",5.82286666666667,"say.Frank got a cat"
"1417",1585,56,7289,"F","F","Charley speaks Spanish","suggest","20","C",0.34,21,50,"english","Yes",0,"Male","",5.82286666666667,"suggest.Charley speaks Spanish"
"1419",1587,56,9203,"F","M","Julian dances salsa","be_annoyed","18","NonProj",0.97,23,50,"english","Yes",0,"Male","",5.82286666666667,"annoyed.Julian dances salsa"
"1420",1588,56,11886,"F","M","Jon walks to work","hear","19","C",0.45,24,50,"english","Yes",0,"Male","",5.82286666666667,"hear.Jon walks to work"
"1421",1589,56,7160,"M","F","Olivia sleeps until noon","prove","4","C",0.99,25,50,"english","Yes",0,"Male","",5.82286666666667,"prove.Olivia sleeps until noon"
"1422",1590,56,10506,"M","M","Isabella ate a steak on Sunday","inform","7","C",0.35,26,50,"english","Yes",0,"Male","",5.82286666666667,"inform_Sam.Isabella ate a steak on Sunday"
"1423",1591,56,6628,"F","F","Jayden rented a car","demonstrate","14","C",0.99,27,50,"english","Yes",0,"Male","",5.82286666666667,"demonstrate.Jayden rented a car"
"1425",1593,56,8052,"M","M","Emma studied on Saturday morning","acknowledge","3","C",0.71,29,50,"english","Yes",0,"Male","",5.82286666666667,"acknowledge.Emma studied on Saturday morning"
"1426",1594,56,9302,"F","F","Josh learned to ride a bike yesterday","be_right","16","C",0.99,30,50,"english","Yes",0,"Male","",5.82286666666667,"be_right_that.Josh learned to ride a bike yesterday"
"1429",1597,57,5789,"F","F","Jayden rented a car","announce","14","C",0.71,5,44,"english","Yes",0,"Female",".75 is a good amount for this hit",3.65058333333333,"announce.Jayden rented a car"
"1430",1598,57,5418,"F","M","Charley speaks Spanish","prove","20","C",0.98,6,44,"english","Yes",0,"Female",".75 is a good amount for this hit",3.65058333333333,"prove.Charley speaks Spanish"
"1431",1599,57,6948,"M","M","Sophia got a tattoo","acknowledge","5","C",0.75,7,44,"english","Yes",0,"Female",".75 is a good amount for this hit",3.65058333333333,"acknowledge.Sophia got a tattoo"
"1432",1600,57,5434,"M","F","Mary is pregnant","admit","1","C",0.92,8,44,"english","Yes",0,"Female",".75 is a good amount for this hit",3.65058333333333,"admit.Mary is pregnant"
"1434",1602,57,6859,"M","F","Emma studied on Saturday morning","demonstrate","3","C",0.69,10,44,"english","Yes",0,"Female",".75 is a good amount for this hit",3.65058333333333,"demonstrate.Emma studied on Saturday morning"
"1435",1603,57,4364,"F","F","Danny ate the last cupcake","suggest","11","C",0.24,11,44,"english","Yes",0,"Female",".75 is a good amount for this hit",3.65058333333333,"suggest.Danny ate the last cupcake"
"1436",1604,57,4545,"M","F","Josie went on vacation to France","see","2","NonProj",0.74,12,44,"english","Yes",0,"Female",".75 is a good amount for this hit",3.65058333333333,"see.Josie went on vacation to France"
"1437",1605,57,3597,"F","M","Frank got a cat","discover","12","NonProj",0.94,13,44,"english","Yes",0,"Female",".75 is a good amount for this hit",3.65058333333333,"discover.Frank got a cat"
"1438",1606,57,5706,"M","F","Zoe calculated the tip","be_right","10","C",0.94,14,44,"english","Yes",0,"Female",".75 is a good amount for this hit",3.65058333333333,"be_right_that.Zoe calculated the tip"
"1439",1607,57,4184,"F","F","Jon walks to work","confirm","19","C",0.88,15,44,"english","Yes",0,"Female",".75 is a good amount for this hit",3.65058333333333,"confirm.Jon walks to work"
"1441",1609,57,5111,"F","M","Julian dances salsa","hear","18","C",0.2,17,44,"english","Yes",0,"Female",".75 is a good amount for this hit",3.65058333333333,"hear.Julian dances salsa"
"1442",1610,57,6230,"M","M","Emily bought a car yesterday","reveal","8","NonProj",0.91,18,44,"english","Yes",0,"Female",".75 is a good amount for this hit",3.65058333333333,"reveal.Emily bought a car yesterday"
"1445",1613,57,5832,"F","M","Owen shoveled snow last winter","establish","17","NonProj",0.85,21,44,"english","Yes",0,"Female",".75 is a good amount for this hit",3.65058333333333,"establish.Owen shoveled snow last winter"
"1446",1614,57,5190,"F","M","Josh learned to ride a bike yesterday","pretend","16","NonProj",0.11,22,44,"english","Yes",0,"Female",".75 is a good amount for this hit",3.65058333333333,"pretend.Josh learned to ride a bike yesterday"
"1447",1615,57,4098,"F","F","Tony had a drink last night","say","15","C",0.75,23,44,"english","Yes",0,"Female",".75 is a good amount for this hit",3.65058333333333,"say.Tony had a drink last night"
"1448",1616,57,4918,"M","F","Isabella ate a steak on Sunday","know","7","NonProj",0.93,24,44,"english","Yes",0,"Female",".75 is a good amount for this hit",3.65058333333333,"know.Isabella ate a steak on Sunday"
"1451",1619,57,4380,"M","F","Grace visited her sister","be_annoyed","9","NonProj",0.93,27,44,"english","Yes",0,"Female",".75 is a good amount for this hit",3.65058333333333,"annoyed.Grace visited her sister"
"1452",1620,57,7314,"M","F","Olivia sleeps until noon","inform","4","C",0.75,28,44,"english","Yes",0,"Female",".75 is a good amount for this hit",3.65058333333333,"inform_Sam.Olivia sleeps until noon"
"1454",1622,57,5160,"F","F","Jackson ran 10 miles","confess","13","C",0.85,30,44,"english","Yes",0,"Female",".75 is a good amount for this hit",3.65058333333333,"confess.Jackson ran 10 miles"
"1455",1623,57,5105,"M","F","Mia drank 2 cocktails last night","think","6","NonProj",0.18,31,44,"english","Yes",0,"Female",".75 is a good amount for this hit",3.65058333333333,"think.Mia drank 2 cocktails last night"
"1457",1625,58,6051,"F","F","Frank got a cat","establish","12","NonProj",0.99,5,48,"English","Yes",0,"Female","",5.33618333333333,"establish.Frank got a cat"
"1458",1626,58,13957,"M","M","Josie went on vacation to France","say","2","C",0.67,6,48,"English","Yes",0,"Female","",5.33618333333333,"say.Josie went on vacation to France"
"1459",1627,58,7192,"F","M","Jayden rented a car","confirm","14","C",0.98,7,48,"English","Yes",0,"Female","",5.33618333333333,"confirm.Jayden rented a car"
"1460",1628,58,7114,"F","M","Charley speaks Spanish","announce","20","C",0.44,8,48,"English","Yes",0,"Female","",5.33618333333333,"announce.Charley speaks Spanish"
"1461",1629,58,10174,"F","F","Jackson ran 10 miles","confess","13","C",0.82,9,48,"English","Yes",0,"Female","",5.33618333333333,"confess.Jackson ran 10 miles"
"1462",1630,58,8481,"F","F","Tony had a drink last night","acknowledge","15","C",0.82,10,48,"English","Yes",0,"Female","",5.33618333333333,"acknowledge.Tony had a drink last night"
"1463",1631,58,6308,"M","M","Grace visited her sister","be_right","9","C",0.98,11,48,"English","Yes",0,"Female","",5.33618333333333,"be_right_that.Grace visited her sister"
"1465",1633,58,6533,"M","F","Mia drank 2 cocktails last night","prove","6","C",0.98,13,48,"English","Yes",0,"Female","",5.33618333333333,"prove.Mia drank 2 cocktails last night"
"1466",1634,58,6184,"M","F","Emma studied on Saturday morning","know","3","NonProj",0.99,14,48,"English","Yes",0,"Female","",5.33618333333333,"know.Emma studied on Saturday morning"
"1467",1635,58,8634,"F","F","Owen shoveled snow last winter","be_annoyed","17","NonProj",0.73,15,48,"English","Yes",0,"Female","",5.33618333333333,"annoyed.Owen shoveled snow last winter"
"1469",1637,58,8441,"M","F","Mary is pregnant","admit","1","C",0.89,17,48,"English","Yes",0,"Female","",5.33618333333333,"admit.Mary is pregnant"
"1470",1638,58,10992,"F","M","Danny ate the last cupcake","think","11","NonProj",0.08,18,48,"English","Yes",0,"Female","",5.33618333333333,"think.Danny ate the last cupcake"
"1471",1639,58,8438,"M","M","Isabella ate a steak on Sunday","inform","7","C",0.79,19,48,"English","Yes",0,"Female","",5.33618333333333,"inform_Sam.Isabella ate a steak on Sunday"
"1473",1641,58,9291,"M","M","Olivia sleeps until noon","discover","4","NonProj",0.84,21,48,"English","Yes",0,"Female","",5.33618333333333,"discover.Olivia sleeps until noon"
"1476",1644,58,5881,"F","F","Julian dances salsa","reveal","18","NonProj",0.76,24,48,"English","Yes",0,"Female","",5.33618333333333,"reveal.Julian dances salsa"
"1477",1645,58,6756,"M","F","Emily bought a car yesterday","hear","8","C",0.31,25,48,"English","Yes",0,"Female","",5.33618333333333,"hear.Emily bought a car yesterday"
"1478",1646,58,6836,"F","F","Josh learned to ride a bike yesterday","see","16","NonProj",0.98,26,48,"English","Yes",0,"Female","",5.33618333333333,"see.Josh learned to ride a bike yesterday"
"1479",1647,58,12502,"F","F","Jon walks to work","demonstrate","19","C",0.61,27,48,"English","Yes",0,"Female","",5.33618333333333,"demonstrate.Jon walks to work"
"1480",1648,58,7989,"M","F","Sophia got a tattoo","suggest","5","C",0.25,28,48,"English","Yes",0,"Female","",5.33618333333333,"suggest.Sophia got a tattoo"
"1483",1651,58,8230,"M","M","Zoe calculated the tip","pretend","10","NonProj",0.12,31,48,"English","Yes",0,"Female","",5.33618333333333,"pretend.Zoe calculated the tip"
"1485",1653,59,7430,"F","M","Julian dances salsa","suggest","18","C",0.12,5,40,"english","Yes",0,"Male","n/a",5.80678333333333,"suggest.Julian dances salsa"
"1486",1654,59,4486,"F","F","Jackson ran 10 miles","establish","13","NonProj",0.93,6,40,"english","Yes",0,"Male","n/a",5.80678333333333,"establish.Jackson ran 10 miles"
"1487",1655,59,5887,"M","M","Isabella ate a steak on Sunday","reveal","7","NonProj",0.69,7,40,"english","Yes",0,"Male","n/a",5.80678333333333,"reveal.Isabella ate a steak on Sunday"
"1488",1656,59,3973,"M","M","Emma studied on Saturday morning","admit","3","C",0.66,8,40,"english","Yes",0,"Male","n/a",5.80678333333333,"admit.Emma studied on Saturday morning"
"1489",1657,59,5895,"F","F","Charley speaks Spanish","think","20","NonProj",0.22,9,40,"english","Yes",0,"Male","n/a",5.80678333333333,"think.Charley speaks Spanish"
"1492",1660,59,3918,"F","F","Jayden rented a car","say","14","C",0.87,12,40,"english","Yes",0,"Male","n/a",5.80678333333333,"say.Jayden rented a car"
"1493",1661,59,4812,"M","M","Josie went on vacation to France","prove","2","C",0.8,13,40,"english","Yes",0,"Male","n/a",5.80678333333333,"prove.Josie went on vacation to France"
"1494",1662,59,3382,"M","M","Mia drank 2 cocktails last night","confirm","6","C",0.77,14,40,"english","Yes",0,"Male","n/a",5.80678333333333,"confirm.Mia drank 2 cocktails last night"
"1495",1663,59,3368,"F","F","Owen shoveled snow last winter","pretend","17","NonProj",0.21,15,40,"english","Yes",0,"Male","n/a",5.80678333333333,"pretend.Owen shoveled snow last winter"
"1496",1664,59,4040,"M","M","Mary is pregnant","announce","1","C",0.82,16,40,"english","Yes",0,"Male","n/a",5.80678333333333,"announce.Mary is pregnant"
"1497",1665,59,5398,"F","F","Josh learned to ride a bike yesterday","know","16","NonProj",0.79,17,40,"english","Yes",0,"Male","n/a",5.80678333333333,"know.Josh learned to ride a bike yesterday"
"1499",1667,59,4630,"M","F","Grace visited her sister","hear","9","C",0.45,19,40,"english","Yes",0,"Male","n/a",5.80678333333333,"hear.Grace visited her sister"
"1501",1669,59,3642,"F","F","Frank got a cat","demonstrate","12","C",0.37,21,40,"english","Yes",0,"Male","n/a",5.80678333333333,"demonstrate.Frank got a cat"
"1502",1670,59,134718,"M","F","Emily bought a car yesterday","discover","8","NonProj",0.81,22,40,"english","Yes",0,"Male","n/a",5.80678333333333,"discover.Emily bought a car yesterday"
"1503",1671,59,3197,"M","F","Olivia sleeps until noon","be_annoyed","4","NonProj",0.74,23,40,"english","Yes",0,"Male","n/a",5.80678333333333,"annoyed.Olivia sleeps until noon"
"1505",1673,59,4173,"M","F","Sophia got a tattoo","inform","5","C",0.78,25,40,"english","Yes",0,"Male","n/a",5.80678333333333,"inform_Sam.Sophia got a tattoo"
"1507",1675,59,5210,"F","F","Jon walks to work","see","19","NonProj",0.8,27,40,"english","Yes",0,"Male","n/a",5.80678333333333,"see.Jon walks to work"
"1509",1677,59,60025,"F","M","Danny ate the last cupcake","be_right","11","C",0.75,29,40,"english","Yes",0,"Male","n/a",5.80678333333333,"be_right_that.Danny ate the last cupcake"
"1510",1678,59,2834,"M","M","Zoe calculated the tip","confess","10","C",0.75,30,40,"english","Yes",0,"Male","n/a",5.80678333333333,"confess.Zoe calculated the tip"
"1511",1679,59,2685,"F","F","Tony had a drink last night","acknowledge","15","C",0.77,31,40,"english","Yes",0,"Male","n/a",5.80678333333333,"acknowledge.Tony had a drink last night"
"1513",1681,60,12223,"F","M","Tony had a drink last night","suggest","15","C",0.14,5,37,"english","Yes",0,"Male","pay is alright it took 6 minutes",6.61303333333333,"suggest.Tony had a drink last night"
"1514",1682,60,11207,"F","M","Jackson ran 10 miles","demonstrate","13","C",0.28,6,37,"english","Yes",0,"Male","pay is alright it took 6 minutes",6.61303333333333,"demonstrate.Jackson ran 10 miles"
"1515",1683,60,6880,"M","F","Grace visited her sister","think","9","NonProj",0.11,7,37,"english","Yes",0,"Male","pay is alright it took 6 minutes",6.61303333333333,"think.Grace visited her sister"
"1516",1684,60,10240,"M","M","Zoe calculated the tip","pretend","10","NonProj",0.06,8,37,"english","Yes",0,"Male","pay is alright it took 6 minutes",6.61303333333333,"pretend.Zoe calculated the tip"
"1517",1685,60,17264,"M","F","Mia drank 2 cocktails last night","admit","6","C",0.93,9,37,"english","Yes",0,"Male","pay is alright it took 6 minutes",6.61303333333333,"admit.Mia drank 2 cocktails last night"
"1518",1686,60,7495,"F","F","Jon walks to work","announce","19","C",0.79,10,37,"english","Yes",0,"Male","pay is alright it took 6 minutes",6.61303333333333,"announce.Jon walks to work"
"1519",1687,60,9264,"M","F","Emily bought a car yesterday","be_right","8","C",0.99,11,37,"english","Yes",0,"Male","pay is alright it took 6 minutes",6.61303333333333,"be_right_that.Emily bought a car yesterday"
"1520",1688,60,8968,"F","M","Owen shoveled snow last winter","acknowledge","17","C",0.99,12,37,"english","Yes",0,"Male","pay is alright it took 6 minutes",6.61303333333333,"acknowledge.Owen shoveled snow last winter"
"1521",1689,60,7904,"M","F","Josie went on vacation to France","hear","2","C",0.23,13,37,"english","Yes",0,"Male","pay is alright it took 6 minutes",6.61303333333333,"hear.Josie went on vacation to France"
"1522",1690,60,7015,"F","M","Jayden rented a car","be_annoyed","14","NonProj",0.99,14,37,"english","Yes",0,"Male","pay is alright it took 6 minutes",6.61303333333333,"annoyed.Jayden rented a car"
"1523",1691,60,7087,"F","F","Danny ate the last cupcake","confess","11","C",0.94,15,37,"english","Yes",0,"Male","pay is alright it took 6 minutes",6.61303333333333,"confess.Danny ate the last cupcake"
"1524",1692,60,7207,"M","M","Sophia got a tattoo","establish","5","NonProj",0.98,16,37,"english","Yes",0,"Male","pay is alright it took 6 minutes",6.61303333333333,"establish.Sophia got a tattoo"
"1525",1693,60,6512,"F","F","Josh learned to ride a bike yesterday","confirm","16","C",0.99,17,37,"english","Yes",0,"Male","pay is alright it took 6 minutes",6.61303333333333,"confirm.Josh learned to ride a bike yesterday"
"1531",1699,60,6273,"F","F","Frank got a cat","see","12","NonProj",0.97,23,37,"english","Yes",0,"Male","pay is alright it took 6 minutes",6.61303333333333,"see.Frank got a cat"
"1532",1700,60,6975,"M","F","Mary is pregnant","reveal","1","NonProj",0.98,24,37,"english","Yes",0,"Male","pay is alright it took 6 minutes",6.61303333333333,"reveal.Mary is pregnant"
"1533",1701,60,8351,"M","F","Isabella ate a steak on Sunday","discover","7","NonProj",1,25,37,"english","Yes",0,"Male","pay is alright it took 6 minutes",6.61303333333333,"discover.Isabella ate a steak on Sunday"
"1534",1702,60,9000,"F","F","Julian dances salsa","say","18","C",0.12,26,37,"english","Yes",0,"Male","pay is alright it took 6 minutes",6.61303333333333,"say.Julian dances salsa"
"1537",1705,60,8856,"M","F","Emma studied on Saturday morning","prove","3","C",0.99,29,37,"english","Yes",0,"Male","pay is alright it took 6 minutes",6.61303333333333,"prove.Emma studied on Saturday morning"
"1538",1706,60,7208,"M","M","Olivia sleeps until noon","know","4","NonProj",0.9,30,37,"english","Yes",0,"Male","pay is alright it took 6 minutes",6.61303333333333,"know.Olivia sleeps until noon"
"1539",1707,60,6648,"F","F","Charley speaks Spanish","inform","20","C",0.63,31,37,"english","Yes",0,"Male","pay is alright it took 6 minutes",6.61303333333333,"inform_Sam.Charley speaks Spanish"
"1541",1709,61,4786,"M","F","Mia drank 2 cocktails last night","know","6","NonProj",1,5,40,"english","Yes",0,"Male","",7.46415,"know.Mia drank 2 cocktails last night"
"1542",1710,61,132137,"F","F","Danny ate the last cupcake","think","11","NonProj",0,6,40,"english","Yes",0,"Male","",7.46415,"think.Danny ate the last cupcake"
"1543",1711,61,5702,"F","F","Jayden rented a car","hear","14","C",1,7,40,"english","Yes",0,"Male","",7.46415,"hear.Jayden rented a car"
"1544",1712,61,3908,"F","F","Tony had a drink last night","admit","15","C",1,8,40,"english","Yes",0,"Male","",7.46415,"admit.Tony had a drink last night"
"1545",1713,61,37416,"F","M","Charley speaks Spanish","acknowledge","20","C",1,9,40,"english","Yes",0,"Male","",7.46415,"acknowledge.Charley speaks Spanish"
"1546",1714,61,15301,"M","F","Emily bought a car yesterday","demonstrate","8","C",1,10,40,"english","Yes",0,"Male","",7.46415,"demonstrate.Emily bought a car yesterday"
"1547",1715,61,6129,"M","M","Emma studied on Saturday morning","see","3","NonProj",1,11,40,"english","Yes",0,"Male","",7.46415,"see.Emma studied on Saturday morning"
"1549",1717,61,5947,"M","M","Zoe calculated the tip","suggest","10","C",0.4,13,40,"english","Yes",0,"Male","",7.46415,"suggest.Zoe calculated the tip"
"1550",1718,61,4161,"M","M","Sophia got a tattoo","pretend","5","NonProj",0.01,14,40,"english","Yes",0,"Male","",7.46415,"pretend.Sophia got a tattoo"
"1551",1719,61,12243,"F","F","Julian dances salsa","confirm","18","C",1,15,40,"english","Yes",0,"Male","",7.46415,"confirm.Julian dances salsa"
"1553",1721,61,24595,"F","F","Jon walks to work","discover","19","NonProj",0.98,17,40,"english","Yes",0,"Male","",7.46415,"discover.Jon walks to work"
"1554",1722,61,41406,"M","M","Olivia sleeps until noon","prove","4","C",1,18,40,"english","Yes",0,"Male","",7.46415,"prove.Olivia sleeps until noon"
"1556",1724,61,10435,"M","M","Isabella ate a steak on Sunday","confess","7","C",1,20,40,"english","Yes",0,"Male","",7.46415,"confess.Isabella ate a steak on Sunday"
"1559",1727,61,4315,"F","M","Frank got a cat","reveal","12","NonProj",1,23,40,"english","Yes",0,"Male","",7.46415,"reveal.Frank got a cat"
"1560",1728,61,5594,"F","M","Josh learned to ride a bike yesterday","establish","16","NonProj",1,24,40,"english","Yes",0,"Male","",7.46415,"establish.Josh learned to ride a bike yesterday"
"1561",1729,61,4237,"M","F","Mary is pregnant","be_annoyed","1","NonProj",1,25,40,"english","Yes",0,"Male","",7.46415,"annoyed.Mary is pregnant"
"1562",1730,61,3888,"F","F","Owen shoveled snow last winter","be_right","17","C",1,26,40,"english","Yes",0,"Male","",7.46415,"be_right_that.Owen shoveled snow last winter"
"1563",1731,61,5682,"M","F","Grace visited her sister","inform","9","C",1,27,40,"english","Yes",0,"Male","",7.46415,"inform_Sam.Grace visited her sister"
"1564",1732,61,6532,"F","F","Jackson ran 10 miles","announce","13","C",0.96,28,40,"english","Yes",0,"Male","",7.46415,"announce.Jackson ran 10 miles"
"1566",1734,61,5568,"M","M","Josie went on vacation to France","say","2","C",1,30,40,"english","Yes",0,"Male","",7.46415,"say.Josie went on vacation to France"
"1569",1737,62,9724,"M","M","Sophia got a tattoo","hear","5","C",0.46,5,45,"English","Yes",0,"Male","The compensation promised for the HIT seems fair.",5.08475,"hear.Sophia got a tattoo"
"1570",1738,62,11326,"F","M","Owen shoveled snow last winter","know","17","NonProj",0.98,6,45,"English","Yes",0,"Male","The compensation promised for the HIT seems fair.",5.08475,"know.Owen shoveled snow last winter"
"1571",1739,62,18047,"M","M","Emily bought a car yesterday","be_right","8","C",0.99,7,45,"English","Yes",0,"Male","The compensation promised for the HIT seems fair.",5.08475,"be_right_that.Emily bought a car yesterday"
"1573",1741,62,6360,"F","M","Danny ate the last cupcake","establish","11","NonProj",0.99,9,45,"English","Yes",0,"Male","The compensation promised for the HIT seems fair.",5.08475,"establish.Danny ate the last cupcake"
