workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
37,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3MAOD8E57QB59FJHSDLECE93ORHNXB,37,Approved,Tue Jun 23 07:25:37 CEST 2015,Mon Jun 22 14:41:23 CEST 2015,Mon Jun 22 14:45:37 CEST 2015,Mon Jun 22 17:53:24 CEST 2015,,,,,[],{},4.209133333333333
38,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3W92K5RLWUI9F18GOYOAUCCWHVA5V1,38,Approved,Tue Jun 23 07:25:37 CEST 2015,Mon Jun 22 14:42:33 CEST 2015,Mon Jun 22 14:45:37 CEST 2015,Mon Jun 22 17:53:24 CEST 2015,,,,,[],{},3.0164333333333335
39,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,30IQTZXKAK72OJRAR7JG12DQGY70XE,39,Approved,Tue Jun 23 07:25:43 CEST 2015,Mon Jun 22 14:41:58 CEST 2015,Mon Jun 22 14:45:43 CEST 2015,Mon Jun 22 17:53:25 CEST 2015,,,,,[],{},3.7209666666666665
40,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3DHE4R9OCWCYY7ZYHKNQW46AA6U2G7,40,Approved,Tue Jun 23 07:25:51 CEST 2015,Mon Jun 22 14:43:08 CEST 2015,Mon Jun 22 14:45:51 CEST 2015,Mon Jun 22 17:53:34 CEST 2015,,,,,[],{},2.6864666666666666
41,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3NG53N1RLVKFXZUM0KME04X5XXA8PL,41,Approved,Tue Jun 23 07:26:10 CEST 2015,Mon Jun 22 14:43:00 CEST 2015,Mon Jun 22 14:46:10 CEST 2015,Mon Jun 22 17:53:34 CEST 2015,,,,,[],{},3.0646666666666667
42,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3QY7M81QH7NAMUSNDNP0QNFBS3X7KV,42,Approved,Tue Jun 23 07:26:11 CEST 2015,Mon Jun 22 14:41:10 CEST 2015,Mon Jun 22 14:46:11 CEST 2015,Mon Jun 22 17:53:35 CEST 2015,,,,,[],{},4.980466666666667
43,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3VA45EW49NOF1ZY0MZ0KWU579M7O1Z,43,Approved,Tue Jun 23 07:26:11 CEST 2015,Mon Jun 22 14:44:04 CEST 2015,Mon Jun 22 14:46:11 CEST 2015,Mon Jun 22 17:53:35 CEST 2015,,,,,[],{},2.08415
44,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZSANO2JCF8LP6K10FWE51J27LTFSO,44,Approved,Tue Jun 23 07:26:18 CEST 2015,Mon Jun 22 14:36:09 CEST 2015,Mon Jun 22 14:46:18 CEST 2015,Mon Jun 22 17:53:35 CEST 2015,,,,,[],{},2.680616666666667
45,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,36WLNQG78ZBU2633UIQDXUO2RWTBE2,45,Approved,Tue Jun 23 07:26:23 CEST 2015,Mon Jun 22 14:44:08 CEST 2015,Mon Jun 22 14:46:23 CEST 2015,Mon Jun 22 17:53:35 CEST 2015,,,,,[],{},2.2089166666666666
46,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3IJXV6UZ1XKTYIMEMY2UIORY1B2IRU,46,Approved,Tue Jun 23 07:26:26 CEST 2015,Mon Jun 22 14:42:38 CEST 2015,Mon Jun 22 14:46:26 CEST 2015,Mon Jun 22 17:53:35 CEST 2015,,,,,[],{},3.7607
47,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,39PAAFCODM1B03J6PU68XSIAXYVVTH,47,Approved,Tue Jun 23 07:26:27 CEST 2015,Mon Jun 22 14:42:53 CEST 2015,Mon Jun 22 14:46:27 CEST 2015,Mon Jun 22 17:53:35 CEST 2015,,,,,[],{},3.5134833333333333
48,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3C44YUNSI1QREUQDHSXUMWB68O7DPW,48,Approved,Tue Jun 23 07:26:39 CEST 2015,Mon Jun 22 14:40:45 CEST 2015,Mon Jun 22 14:46:39 CEST 2015,Mon Jun 22 17:53:36 CEST 2015,,,,,[],{},5.845383333333333
49,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3VHHR074H3IL60A5YN115NSQH327LY,49,Approved,Tue Jun 23 07:26:56 CEST 2015,Mon Jun 22 14:42:41 CEST 2015,Mon Jun 22 14:46:56 CEST 2015,Mon Jun 22 17:53:36 CEST 2015,,,,,[],{},4.2046166666666664
50,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,32M8BPYGATN29SD06N8IJKDRZ2SGIX,50,Approved,Tue Jun 23 07:27:02 CEST 2015,Mon Jun 22 14:43:35 CEST 2015,Mon Jun 22 14:47:02 CEST 2015,Mon Jun 22 17:53:36 CEST 2015,,,,,[],{},3.3955
51,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3FTYUGLFSUMNLK8UXDOGOQ6PHO5D59,51,Approved,Tue Jun 23 07:27:11 CEST 2015,Mon Jun 22 14:44:30 CEST 2015,Mon Jun 22 14:47:11 CEST 2015,Mon Jun 22 17:53:36 CEST 2015,,,,,[],{},2.649366666666667
52,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3B2X28YI3WGQPRAOO07FL6WPAY5B6H,52,Approved,Tue Jun 23 07:27:14 CEST 2015,Mon Jun 22 14:40:23 CEST 2015,Mon Jun 22 14:47:14 CEST 2015,Mon Jun 22 17:53:36 CEST 2015,,,,,[],{},6.502166666666667
53,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3Z7EFSHGN9FMIBMQ3NC0W3FRPN3CXI,53,Approved,Tue Jun 23 07:27:22 CEST 2015,Mon Jun 22 14:41:42 CEST 2015,Mon Jun 22 14:47:22 CEST 2015,Mon Jun 22 17:53:36 CEST 2015,,,,,[],{},5.6283666666666665
54,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3OWEPKL089DBU0DQA0HGIFWFMY27N0,54,Approved,Tue Jun 23 07:27:40 CEST 2015,Mon Jun 22 14:43:57 CEST 2015,Mon Jun 22 14:47:40 CEST 2015,Mon Jun 22 17:53:36 CEST 2015,,,,,[],{},3.6302666666666665
55,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3HUTX6F6VUOMQKGW530Y1DFC1SLO2G,55,Approved,Tue Jun 23 07:27:41 CEST 2015,Mon Jun 22 14:45:14 CEST 2015,Mon Jun 22 14:47:41 CEST 2015,Mon Jun 22 17:53:37 CEST 2015,,,,,[],{},2.4279
56,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3L4PIM1GQTHFOI1JQGOX4CLMRU0YRG,56,Approved,Tue Jun 23 07:27:42 CEST 2015,Mon Jun 22 14:43:29 CEST 2015,Mon Jun 22 14:47:42 CEST 2015,Mon Jun 22 17:53:37 CEST 2015,,,,,[],{},4.1898333333333335
57,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3QAVNHZ3EM53P2835QDLFEUGIB8LA3,57,Approved,Tue Jun 23 07:28:01 CEST 2015,Mon Jun 22 14:44:52 CEST 2015,Mon Jun 22 14:48:01 CEST 2015,Mon Jun 22 17:53:37 CEST 2015,,,,,[],{},3.1151333333333335
58,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3U84XHCDICE8S29QBQU3AQJE5AK4ZU,58,Approved,Tue Jun 23 07:28:07 CEST 2015,Mon Jun 22 14:36:49 CEST 2015,Mon Jun 22 14:48:07 CEST 2015,Mon Jun 22 17:53:37 CEST 2015,,,,,[],{},11.2094
59,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3R8YZBNQ9HJWXXQIQS9XM9RKR9P7QN,59,Approved,Tue Jun 23 07:28:10 CEST 2015,Mon Jun 22 14:45:47 CEST 2015,Mon Jun 22 14:48:10 CEST 2015,Mon Jun 22 17:53:37 CEST 2015,,,,,[],{},2.3034166666666667
60,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3TPZPLC3M0DTW2OGO3RI9NPUHBI3PO,60,Approved,Tue Jun 23 07:28:36 CEST 2015,Mon Jun 22 14:44:56 CEST 2015,Mon Jun 22 14:48:36 CEST 2015,Mon Jun 22 17:53:43 CEST 2015,,,,,[],{},3.61235
61,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3J2UYBXQQLDP547EQKAQ1P06JU860Q,61,Approved,Tue Jun 23 07:28:55 CEST 2015,Mon Jun 22 14:45:26 CEST 2015,Mon Jun 22 14:48:55 CEST 2015,Mon Jun 22 17:53:43 CEST 2015,,,,,[],{},3.436
62,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3NQL1CS15R97HPI0Z0T759APC0DYV9,62,Approved,Tue Jun 23 07:29:41 CEST 2015,Mon Jun 22 14:45:41 CEST 2015,Mon Jun 22 14:49:41 CEST 2015,Mon Jun 22 17:53:43 CEST 2015,,,,,[],{},3.9587666666666665
63,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,354P56DE9K48AD5VIWY2H96L9XA7SC,63,Approved,Tue Jun 23 07:29:48 CEST 2015,Mon Jun 22 14:46:23 CEST 2015,Mon Jun 22 14:49:48 CEST 2015,Mon Jun 22 17:53:43 CEST 2015,,,,,[],{},3.3884
64,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3SBEHTYCWN42VJY00TUOQKKV4YHIYW,64,Approved,Tue Jun 23 07:29:49 CEST 2015,Mon Jun 22 14:46:47 CEST 2015,Mon Jun 22 14:49:49 CEST 2015,Mon Jun 22 17:53:43 CEST 2015,,,,,[],{},2.9926166666666667
65,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,35DR22AR5DLY5BQ7AU1Z30BXJAR3XC,65,Approved,Tue Jun 23 07:29:50 CEST 2015,Mon Jun 22 14:48:22 CEST 2015,Mon Jun 22 14:49:50 CEST 2015,Mon Jun 22 17:53:44 CEST 2015,,,,,[],{},1.44335
66,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,38JBBYETQOBAH7IUF3GQPGIWH4CE4Z,66,Approved,Tue Jun 23 07:30:13 CEST 2015,Mon Jun 22 14:46:52 CEST 2015,Mon Jun 22 14:50:13 CEST 2015,Mon Jun 22 17:53:44 CEST 2015,,,,,[],{},3.0995833333333334
67,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,37U1UTWH9VN09CA1DCQ35ZXKYFY8RD,67,Approved,Tue Jun 23 07:30:21 CEST 2015,Mon Jun 22 14:45:00 CEST 2015,Mon Jun 22 14:50:21 CEST 2015,Mon Jun 22 17:53:44 CEST 2015,,,,,[],{},5.306733333333334
68,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,37C0GNLMHF4J4O882WYLGWKPDJGD6P,68,Approved,Tue Jun 23 07:30:26 CEST 2015,Mon Jun 22 14:44:39 CEST 2015,Mon Jun 22 14:50:26 CEST 2015,Mon Jun 22 17:53:44 CEST 2015,,,,,[],{},5.742616666666667
69,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,345LHZDEDXT6O7WC5PQCJTCTPSA3UK,69,Approved,Tue Jun 23 07:30:28 CEST 2015,Mon Jun 22 14:47:06 CEST 2015,Mon Jun 22 14:50:28 CEST 2015,Mon Jun 22 17:53:44 CEST 2015,,,,,[],{},3.3153
70,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3Z2R0DQ0JHF0ET37BPX2W1LYXQGE23,70,Approved,Tue Jun 23 07:30:31 CEST 2015,Mon Jun 22 14:47:03 CEST 2015,Mon Jun 22 14:50:31 CEST 2015,Mon Jun 22 17:53:44 CEST 2015,,,,,[],{},3.440383333333333
71,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,33L7PJKHCGZDPRNTH1VY5EY2M0V8TQ,71,Approved,Tue Jun 23 07:30:34 CEST 2015,Mon Jun 22 14:48:59 CEST 2015,Mon Jun 22 14:50:34 CEST 2015,Mon Jun 22 17:53:45 CEST 2015,,,,,[],{},1.5614666666666666
72,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3L0KT67Y8EHRPX1W55O2UMQIDWJYS4,72,Approved,Tue Jun 23 07:30:39 CEST 2015,Mon Jun 22 14:44:17 CEST 2015,Mon Jun 22 14:50:39 CEST 2015,Mon Jun 22 17:53:45 CEST 2015,,,,,[],{},4.5533
73,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,31Z0PCVWUKG9PDIA7W3SRE27BGO7T1,73,Approved,Tue Jun 23 07:30:47 CEST 2015,Mon Jun 22 14:46:52 CEST 2015,Mon Jun 22 14:50:47 CEST 2015,Mon Jun 22 17:53:45 CEST 2015,,,,,[],{},3.8641833333333335
74,34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3ZBBW13US369JVLHVE262NE8KBVV95,Language study,A 3-minute language experiment,language experiment study communication fun cognitive science,$0.30,Mon Jun 22 14:29:20 CEST 2015,250,0,0,250,Reviewable,NotReviewed,1 cond,1800,60000,Thu Jun 25 14:29:20 CEST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=34R3P23QHS2VOZUMP8PDGR3HCOMWH0,3SBEHTYCWN42VJY00TUOQKKV4YHYIC,74,Approved,Tue Jun 23 07:31:05 CEST 2015,Mon Jun 22 14:38:33 CEST 2015,Mon Jun 22 14:51:05 CEST 2015,Mon Jun 22 17:53:45 CEST 2015,,,,,[],{},11.5383
